City,Customer Name,Customer Segment,Customer Type,Feedback,Gender,Order Date,Order ID,Order Priority,POS,Product Category,Product Container,Product Name,Product Sub-Category,Promotion,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Discount,Labour Cost,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
McKeesport,Jessica Myrick,Small Business,Direct,Very Satisfied,Female,01/01/09,28774,High,Call Center,Office Supplies,Small Box,"Perma STOR-ALLª Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,Television Advertising,East,4031,02/01/09,Regular Air,Pennsylvania,15131,0.1,2.345,1,32,0.68,-111.8,180.36,4.69,5.98
Bowie,Matt Collister,Home Office,Direct,Satisified,Male,01/01/09,13729,Not Specified,Point of Sales,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,Window Display,East,1914,03/01/09,Express Air,Maryland,20715,0.08,17.5,1,9,0.83,-342.91,872.48,35,95.99
Napa,Alan Schoenberger,Corporate,Direct,Neutral,Male,02/01/09,37537,Low,Point of Sales,Furniture,Jumbo Drum,Hon 4070 Series Pagodaª Armless Upholstered Stacking Chairs,Chairs & Chairmats,Film Advertising,West,5272,02/01/09,Delivery Truck,California,94559,0,24.4,1,4,0.56,-193.08,1239.06,48.8,291.73
Montebello,Elizabeth Moffitt,Consumer,Online,Neutral,Male,02/01/09,44069,Critical,Call Center,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,Radio Advertising,West,6225,02/01/09,Regular Air,California,90640,0.08,0.985,1,43,0.39,247.79,614.8,1.97,15.04
Napa,Alan Schoenberger,Corporate,Direct,Neutral,Male,02/01/09,37537,Low,Point of Sales,Furniture,Jumbo Drum,Hon Valutaskª Swivel Chairs,Chairs & Chairmats,Film Advertising,West,5273,04/01/09,Delivery Truck,California,94559,0.07,22.5,1,43,0.69,-1049.85,4083.19,45,100.98
Montebello,Elizabeth Moffitt,Consumer,Online,Neutral,Male,02/01/09,44069,Critical,Call Center,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off¨ Rapid Letter, 8 1/2"" x 7""",Paper,Radio Advertising,West,6224,04/01/09,Express Air,California,90640,0.09,1.075,1,16,0.4,26.71,137.63,2.15,9.11
Prior Lake,David Philippe,Consumer,Online,Very Satisfied,Male,02/01/09,9285,Critical,Call Center,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,Outdoor Advertising,Central,1279,04/01/09,Regular Air,Minnesota,55372,0.06,1.495,1,3,0.36,-11.937,124.81,2.99,40.98
Napa,Alan Schoenberger,Corporate,Direct,Unsatisfied,Male,02/01/09,37537,Low,Point of Sales,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,Film Advertising,West,5274,09/01/09,Regular Air,California,94559,0.05,3.535,1,32,0.59,1438.49,4902.38,7.07,155.06
Lake Oswego,Alex Russell,Home Office,Direct,Satisified,Male,03/01/09,7909,High,Point of Sales,Office Supplies,Wrap Bag,"Dixon Prang¨ Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,fairs and exhibition,West,1074,04/01/09,Regular Air,Oregon,97035,0.03,0.6,1,29,0.44,24.55,122.23,1.2,4.26
Phenix City,Patrick Jones,Home Office,Online,Satisified,Female,03/01/09,40354,High,Point of Sales,Furniture,Jumbo Box,Bush Advantage Collection¨ Round Conference Table,Tables,Outdoor Advertising,South,5705,04/01/09,Delivery Truck,Alabama,36869,0.09,26.1,1,4,0.64,-93.16,698,52.2,212.6
Phenix City,Patrick Jones,Home Office,Online,Satisified,Female,03/01/09,40354,High,Point of Sales,Office Supplies,Small Box,Avery Heavy-Duty EZD ª Binder With Locking Rings,Binders and Binder Accessories,Outdoor Advertising,South,5704,04/01/09,Regular Air,Alabama,36869,0.03,1.495,1,29,0.37,12.5545,172.51,2.99,5.58
Draper,Larry Tron,Home Office,Online,Satisified,Male,03/01/09,9762,High,Point of Sales,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,Outdoor Advertising,West,1336,04/01/09,Regular Air,Utah,84020,0.05,10.6,1,12,0.78,-146.05,262.76,21.2,20.98
Kearney,Bill Donatelli,Corporate,Direct,Satisified,Male,03/01/09,30016,Critical,Call Center,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,fairs and exhibition,Central,4223,05/01/09,Regular Air,Nebraska,68847,0.03,2.83,1,15,0.4,-41.58,85.56,5.66,5.28
Layton,Ann Steele,Corporate,Direct,Satisified,Female,03/01/09,11972,Not Specified,Point of Sales,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,Direct Mail,West,1663,05/01/09,Delivery Truck,Utah,84041,0,7.35,1,4,0.59,-452.2695,896.49,14.7,213.45
Baton Rouge,Andy Reiter,Corporate,Online,Satisified,Female,03/01/09,9637,Low,Point of Sales,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,Direct Mail,South,1315,05/01/09,Regular Air,Louisiana,70802,0.08,8.355,1,12,0.66,-236.43,522.49,16.71,43.22
Kearney,Bill Donatelli,Corporate,Direct,Satisified,Male,03/01/09,30016,Critical,Call Center,Technology,Small Box,T18,Telephones and Communication,fairs and exhibition,Central,4224,06/01/09,Regular Air,Nebraska,68847,0.01,1.25,1,8,0.57,-212.553,754.6555,2.5,110.99
Baton Rouge,Andy Reiter,Corporate,Online,Satisified,Female,03/01/09,9637,Low,Point of Sales,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,Direct Mail,South,1317,07/01/09,Regular Air,Louisiana,70802,0.04,1.135,1,12,0.36,32.44,123.76,2.27,10.14
Baton Rouge,Andy Reiter,Corporate,Online,Satisified,Female,03/01/09,9637,Low,Point of Sales,Technology,Large Box,Polycom ViaVideoª Desktop Video Communications Unit,Office Machines,Direct Mail,South,1316,10/01/09,Regular Air,Louisiana,70802,0.05,12.245,1,49,0.37,14440.39,28359.4,24.49,574.74
Pharr,Tamara Dahlen,Corporate,Direct,Very Satisfied,Male,04/01/09,8710,Critical,Point of Sales,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Outdoor Advertising,Central,1193,05/01/09,Regular Air,Texas,78577,0.03,3.135,1,17,0.4,-76.015,63.34,6.27,3.36
Bryan,Dave Hallsten,Home Office,Online,Very Satisfied,Male,04/01/09,49730,High,Call Center,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,Window Display,Central,6953,05/01/09,Delivery Truck,Texas,77803,0.06,15,1,3,0.61,-394.69,1039.56,30,350.98
Pharr,Tamara Dahlen,Corporate,Direct,Very Satisfied,Male,04/01/09,8710,Critical,Point of Sales,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,Outdoor Advertising,Central,1194,06/01/09,Express Air,Texas,78577,0.07,0.965,1,42,0.35,8.33,151.35,1.93,3.71
Bedford,Darren Budd,Consumer,Online,Very Satisfied,Female,05/01/09,57253,Critical,Call Center,Furniture,Large Box,Telescoping Adjustable Floor Lamp,Office Furnishings,Window Display,Central,8013,05/01/09,Regular Air,Texas,76021,0.07,17.5,1,48,0.6,-335.24,12635.75,35,279.48
Bedford,Darren Budd,Consumer,Online,Very Satisfied,Female,05/01/09,57253,Critical,Call Center,Technology,Small Box,232,Telephones and Communication,Window Display,Central,8015,05/01/09,Regular Air,Texas,76021,0.04,2.63,1,25,0.55,667.449,2750.107,5.26,125.99
Deer Park,Dorris Love,Home Office,Direct,Very Satisfied,Female,05/01/09,290,Not Specified,Call Center,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,newspapers and magazines,East,47,06/01/09,Regular Air,New York,11729,0.05,2.915,1,24,0.36,-32.48,188.73,5.83,7.64
Ormond Beach,Valerie Dominguez,Corporate,Direct,Very Satisfied,Male,05/01/09,25601,Medium,Point of Sales,Office Supplies,Small Box,"Perma STOR-ALLª Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,Window Display,South,3588,06/01/09,Regular Air,Florida,32174,0.09,2.345,1,43,0.68,-131.08,257.41,4.69,5.98
